timestamp,open,high,low,close,volume,oi
2026-01-01 09:15:00+05:30,4090.0,4103.9,4088.3,4102.3,8121,0
2026-01-01 09:16:00+05:30,4102.6,4106.4,4099.0,4104.9,19045,0
2026-01-01 09:17:00+05:30,4104.8,4106.0,4099.0,4104.0,5785,0
2026-01-01 09:18:00+05:30,4104.0,4104.9,4099.9,4099.9,2666,0
2026-01-01 09:19:00+05:30,4099.9,4102.9,4099.0,4102.0,3345,0
2026-01-01 09:20:00+05:30,4100.7,4104.6,4099.0,4104.6,2132,0
2026-01-01 09:21:00+05:30,4103.2,4104.8,4101.1,4102.7,4145,0
2026-01-01 09:22:00+05:30,4102.8,4103.0,4100.5,4101.6,1976,0
2026-01-01 09:23:00+05:30,4101.9,4105.0,4100.0,4105.0,4079,0
2026-01-01 09:24:00+05:30,4104.9,4108.6,4104.9,4107.9,4904,0
2026-01-01 09:25:00+05:30,4107.8,4109.2,4106.0,4108.5,3256,0
2026-01-01 09:26:00+05:30,4108.4,4110.1,4107.0,4109.3,2134,0
2026-01-01 09:27:00+05:30,4109.2,4111.5,4108.5,4110.8,5623,0
2026-01-01 09:28:00+05:30,4110.7,4113.2,4110.0,4112.1,6789,0
2026-01-01 09:29:00+05:30,4112.0,4114.9,4111.5,4114.2,7234,0
2026-01-01 09:30:00+05:30,4114.1,4115.8,4112.0,4113.9,4567,0
2026-01-01 09:31:00+05:30,4113.8,4116.5,4112.5,4115.3,5891,0
2026-01-01 09:32:00+05:30,4115.2,4117.1,4113.8,4116.7,3421,0
2026-01-01 09:33:00+05:30,4116.6,4118.9,4115.0,4117.4,4356,0
2026-01-01 09:34:00+05:30,4117.3,4119.2,4116.1,4118.6,2987,0
2026-01-01 09:35:00+05:30,4118.5,4120.4,4117.0,4119.8,3654,0
2026-01-01 09:36:00+05:30,4119.7,4121.6,4118.5,4120.9,4123,0
2026-01-01 09:37:00+05:30,4120.8,4122.3,4119.0,4121.5,2876,0
2026-01-01 09:38:00+05:30,4121.4,4123.7,4120.0,4122.8,5234,0
2026-01-01 09:39:00+05:30,4122.7,4124.9,4121.5,4124.1,6145,0
2026-01-01 09:40:00+05:30,4124.0,4125.6,4122.0,4125.2,3987,0
2026-01-01 09:41:00+05:30,4125.1,4126.8,4123.5,4126.4,4567,0
2026-01-01 09:42:00+05:30,4126.3,4127.5,4124.0,4127.1,2654,0
2026-01-01 09:43:00+05:30,4127.0,4128.6,4125.5,4128.3,5432,0
2026-01-01 09:44:00+05:30,4128.2,4129.4,4126.0,4129.0,3456,0
2026-01-01 09:45:00+05:30,4128.9,4130.5,4127.0,4130.2,6789,0
2026-01-01 09:46:00+05:30,4130.1,4131.3,4128.5,4131.0,4234,0
2026-01-01 09:47:00+05:30,4130.9,4132.1,4129.0,4132.0,5123,0
2026-01-01 09:48:00+05:30,4131.9,4133.2,4130.0,4133.0,3876,0
2026-01-01 09:49:00+05:30,4132.9,4134.0,4131.0,4133.9,4345,0
2026-01-01 09:50:00+05:30,4133.8,4135.1,4132.0,4134.8,5678,0
2026-01-01 09:51:00+05:30,4134.7,4136.0,4133.0,4135.7,2987,0
2026-01-01 09:52:00+05:30,4135.6,4137.2,4134.0,4136.5,6234,0
2026-01-01 09:53:00+05:30,4136.4,4138.1,4135.0,4137.4,4123,0
2026-01-01 09:54:00+05:30,4137.3,4139.0,4136.0,4138.2,5456,0
2026-01-01 09:55:00+05:30,4138.1,4139.8,4137.0,4139.1,3234,0
2026-01-01 09:56:00+05:30,4139.0,4140.7,4138.0,4140.0,6789,0
2026-01-01 09:57:00+05:30,4139.9,4141.5,4138.5,4140.8,4567,0
2026-01-01 09:58:00+05:30,4140.7,4142.4,4139.5,4141.7,5234,0
2026-01-01 09:59:00+05:30,4141.6,4143.2,4140.5,4142.5,3876,0
2026-01-01 10:00:00+05:30,4142.4,4144.1,4141.5,4143.4,6543,0
2026-01-01 10:01:00+05:30,4143.3,4145.0,4142.5,4144.2,4321,0
2026-01-01 10:02:00+05:30,4144.1,4145.8,4143.5,4145.1,5678,0
2026-01-01 10:03:00+05:30,4145.0,4146.7,4144.5,4145.9,2987,0
2026-01-01 10:04:00+05:30,4145.8,4147.5,4145.5,4146.8,6234,0
2026-01-01 10:05:00+05:30,4146.7,4148.4,4146.5,4147.6,4123,0
2026-01-01 10:06:00+05:30,4147.5,4149.2,4147.5,4148.5,5456,0
2026-01-01 10:07:00+05:30,4148.4,4150.1,4148.5,4149.3,3234,0
2026-01-01 10:08:00+05:30,4149.2,4150.9,4149.5,4150.2,6789,0
2026-01-01 10:09:00+05:30,4150.1,4151.8,4150.5,4151.0,4567,0
2026-01-01 10:10:00+05:30,4150.9,4152.6,4151.5,4151.9,5234,0
2026-01-01 10:11:00+05:30,4151.8,4153.5,4152.5,4152.7,3876,0
2026-01-01 10:12:00+05:30,4152.6,4154.3,4153.5,4153.6,6543,0
2026-01-01 10:13:00+05:30,4153.5,4155.2,4154.5,4154.4,4321,0
2026-01-01 10:14:00+05:30,4154.3,4156.0,4155.5,4155.3,5678,0
2026-01-01 10:15:00+05:30,4155.2,4156.9,4156.5,4156.1,2987,0
